Date,Open,High,Low,Close,Adj Close,Volume
2024-03-05,202.11000061035156,203.9499969482422,200.85000610351562,203.80999755859375,203.80999755859375,1396400
2024-03-06,204.11000061035156,206.64999389648438,203.47999572753906,203.61000061035156,203.61000061035156,1277900
2024-03-07,204.77999877929688,205.24000549316406,203.3000030517578,204.94000244140625,204.94000244140625,1115400
2024-03-08,204.27999877929688,206.63999938964844,204.02999877929688,205.7100067138672,205.7100067138672,932300
2024-03-11,205.39999389648438,205.63999938964844,202.77999877929688,204.19000244140625,204.19000244140625,840700
2024-03-12,205.1999969482422,207.94000244140625,204.91000366210938,207.02999877929688,207.02999877929688,973600
2024-03-13,207.33999633789062,209.1300048828125,206.55999755859375,208.52999877929688,208.52999877929688,1272500
2024-03-14,209.55999755859375,209.7100067138672,206.14999389648438,206.9199981689453,206.9199981689453,1742000
2024-03-15,204.7100067138672,207.19000244140625,203.91000366210938,204.66000366210938,204.66000366210938,3029500
2024-03-18,206.08999633789062,207.9600067138672,205.00999450683594,206.5,206.5,2349400
2024-03-19,207.2899932861328,208.77000427246094,207.05999755859375,208.1199951171875,208.1199951171875,1038500
2024-03-20,208.58999633789062,211.52999877929688,207.97000122070312,210.50999450683594,210.50999450683594,1340300
2024-03-21,211.44000244140625,211.86000061035156,210.25,210.5500030517578,210.5500030517578,1462600
2024-03-22,210.52999877929688,211.6999969482422,210.4600067138672,211.3000030517578,211.3000030517578,1045700
2024-03-25,210.75,211.22000122070312,208.85000610351562,210.1199951171875,210.1199951171875,1176400
2024-03-26,212.82000732421875,213.74000549316406,212.25999450683594,213.0399932861328,213.0399932861328,1482700
2024-03-27,214.1699981689453,215.13999938964844,212.33999633789062,214.33999633789062,214.33999633789062,1225100
2024-03-28,214.6300048828125,215.7899932861328,213.0500030517578,213.30999755859375,213.30999755859375,1247500
2024-04-01,213.30999755859375,214.57000732421875,212.1999969482422,212.6999969482422,212.6999969482422,1038900
2024-04-02,211.1699981689453,211.67999267578125,210.22999572753906,210.3699951171875,210.3699951171875,1412800
2024-04-03,210.88999938964844,213.02000427246094,210.74000549316406,212.1699981689453,212.1699981689453,1163400
2024-04-04,214.07000732421875,214.72000122070312,207.69000244140625,208.7899932861328,208.7899932861328,1233800
