Date,Open,High,Low,Close,Adj Close,Volume
2024-03-05,224.9199981689453,226.6199951171875,222.97999572753906,223.41000366210938,222.8482666015625,1069600
2024-03-06,223.47999572753906,225.38999938964844,222.60000610351562,223.5399932861328,222.97793579101562,862800
2024-03-07,225.0,226.32000732421875,224.05999755859375,224.57000732421875,224.00535583496094,879400
2024-03-08,224.97999572753906,226.27000427246094,223.33999633789062,223.4600067138672,222.8981475830078,860200
2024-03-11,223.3699951171875,223.9199981689453,221.9199981689453,223.89999389648438,223.33702087402344,1422900
2024-03-12,223.5,224.2100067138672,223.00999450683594,223.55999755859375,222.99789428710938,1934500
2024-03-13,224.0,226.0,223.6300048828125,225.17999267578125,224.6138153076172,825700
2024-03-14,225.14999389648438,225.8300018310547,223.66000366210938,224.8300018310547,224.2646942138672,1030700
2024-03-15,222.6300048828125,227.14999389648438,222.6300048828125,226.6999969482422,226.12998962402344,3365700
2024-03-18,226.92999267578125,229.55999755859375,226.7899932861328,228.1199951171875,228.1199951171875,1243900
2024-03-19,229.63999938964844,229.63999938964844,225.22999572753906,227.33999633789062,227.33999633789062,1279500
2024-03-20,228.52000427246094,229.6999969482422,227.30999755859375,228.61000061035156,228.61000061035156,1169500
2024-03-21,228.8000030517578,229.60000610351562,227.02999877929688,228.82000732421875,228.82000732421875,1388700
2024-03-22,228.74000549316406,229.8000030517578,228.02000427246094,229.27000427246094,229.27000427246094,1055200
2024-03-25,229.3300018310547,229.3300018310547,226.7899932861328,227.07000732421875,227.07000732421875,1003000
2024-03-26,226.92999267578125,229.0399932861328,226.72000122070312,228.22999572753906,228.22999572753906,979000
2024-03-27,230.0,231.86000061035156,228.25999450683594,231.75999450683594,231.75999450683594,1195200
2024-03-28,231.57000732421875,231.57000732421875,230.0500030517578,230.89999389648438,230.89999389648438,821000
2024-04-01,230.3000030517578,230.47999572753906,227.14999389648438,227.92999267578125,227.92999267578125,905500
2024-04-02,227.4600067138672,228.47999572753906,226.64999389648438,227.4499969482422,227.4499969482422,871700
2024-04-03,228.5,229.30999755859375,227.11000061035156,228.25999450683594,228.25999450683594,828600
2024-04-04,229.5399932861328,230.30999755859375,224.4600067138672,224.5800018310547,224.5800018310547,960400
